time,thscode,ths_chg_ratio_m_stock
2014-03-31,300015.SZ,-12.319920516642
2014-03-31,600050.SH,0.0
2014-03-31,601933.SH,-5.3036126056879
2014-03-31,002624.SZ,-0.13280212483401
2014-03-31,600157.SH,-6.2780269058296
2014-03-31,002024.SZ,-24.919786096257
2014-03-31,601099.SH,-11.331444759207
2014-03-31,600196.SH,-7.9080459770115
2014-03-31,600018.SH,0.4228329809725
2014-03-31,600900.SH,-3.3500837520938
2014-03-31,600271.SH,-14.197530864198
2014-03-31,600585.SH,8.4273390842734
2014-03-31,600016.SH,1.726427622842
2014-03-31,002470.SZ,-9.1428571428572
2014-03-31,601607.SH,-4.5487364620938
2014-03-31,600741.SH,5.6105610561056
2014-03-31,600372.SH,-17.494505494505
2014-03-31,000768.SZ,-2.0954598370198
2014-03-31,601390.SH,5.0420168067227
2014-03-31,002065.SZ,-11.684901531729
2014-03-31,002007.SZ,-4.8897058823529
2014-03-31,601727.SH,4.5454545454545
2014-03-31,600066.SH,-11.270718232044
2014-03-31,600570.SH,5.6594488188976
2014-03-31,000568.SZ,1.9036287923855
2014-03-31,601718.SH,0.38461538461538
2014-03-31,000959.SZ,0.0
2014-03-31,000792.SZ,-0.066800267201069
2014-03-31,300027.SZ,-2.340862422998
2014-03-31,000338.SZ,-4.6418338108882
2014-03-31,000963.SZ,0.13357079252002
2014-03-31,600010.SH,-8.0091533180778
2014-03-31,002294.SZ,-3.9789542913515
2014-03-31,600104.SH,9.0551181102362
2014-03-31,601377.SH,-0.1150747986191
2014-03-31,300251.SZ,0.0
2014-03-31,002500.SZ,-6.6666666666667
2014-03-31,300059.SZ,8.7198515769944
2014-03-31,600887.SH,2.0216400911162
2014-03-31,600390.SH,-31.756357185098
2014-03-31,002594.SZ,-15.463011772975
2014-03-31,600816.SH,-4.9226441631505
2014-03-31,002153.SZ,-26.589698046181
2014-03-31,601336.SH,-6.2703204830469
2014-03-31,600703.SH,0.61919504643965
2014-03-31,600660.SH,5.089058524173
2014-03-31,601899.SH,-5.4621848739496
