time,thscode,ths_eps_fore_org_num_consensus_stock,ths_fore_eps_median_consensus_stock,ths_fore_roe_median_consensus_stock,ths_fore_np_growth_consensus_stock,ths_np_growth_3y_consensus_stock,ths_rating_org_num_stock,ths_rating_upper_num_stock,ths_rating_lower_num_stock,ths_rating_keep_num_stock,ths_rating_buy_num_stock,ths_rating_in_held_num_stock,ths_rating_neutrality_num_stock,ths_rating_de_held_num_stock,ths_rating_sell_num_stock,ths_target_price_compre_value_stock
2014-01-30,600000.SH,24,2.38,20,8.2365389359635,5.1623396826831,13,,1,12,4,8,1,0,0,11.78
2014-01-30,600332.SH,7,1.11,21.4,44.511042117952,27.568013699748,3,,,3,2,1,0,0,0,
2014-01-30,600637.SH,28,0.88,22.8,44.563134668065,8.4078833999357,11,,,10,4,7,0,0,0,
2014-01-30,300136.SZ,9,0.4555,9.6,248.14851917311,37.687078400265,3,,1,2,1,2,0,0,0,
2014-01-30,002415.SZ,23,1.0475,29.6,38.634428643396,23.114568528663,9,1,1,5,5,3,1,0,0,30.5667
2014-01-30,600208.SH,14,0.4729,19.395,258.9447221525,22.77481199282,3,,,3,1,2,0,0,0,
2014-01-30,601857.SH,11,0.75,10,7.6694831970741,55.67254234048,6,,1,5,3,2,1,0,0,8.41
2014-01-30,600518.SH,11,1.12,17.925,32.189705998555,22.512816602691,4,,,4,2,2,0,0,0,
2014-01-30,600233.SH,2,0.42,6.2,27.876407310885,20.067066198466,1,,,1,0,0,1,0,0,
2014-01-30,000983.SZ,21,0.42,8.6,26.96120802825,13.013191532688,5,,,5,2,1,2,0,0,13.2
2014-01-30,600100.SH,1,0.3876,8.4,25.858411432493,,,,,,,,,,,
2014-01-30,000002.SZ,35,1.7398,20.2,26.651981432403,24.920381569798,14,,,14,11,3,0,0,0,12.25
2014-01-30,600837.SH,25,0.56,7.705,31.893448945378,-3.0333756496569,9,,,9,5,3,1,0,0,13.01
2014-01-30,601225.SH,14,0.3876,10.25,6.3567893149065,8.5240796397122,,,,,,,,,,
2014-01-30,000938.SZ,3,1.2034,17.035,198.84370010969,23.44049354473,2,,,2,1,1,0,0,0,
2014-01-30,600340.SH,23,2.3993,33.9,30.361056615601,30.907312472727,12,,,12,9,3,0,0,0,31.5333
2014-01-30,000671.SZ,14,0.848,24.9,72.216259552575,41.313878567215,4,,,4,3,1,0,0,0,
2014-01-30,002714.SZ,14,1.9408,20.35,46.923109392279,28.465490338956,,,,,,,,,,
2014-01-30,600011.SH,17,0.7164,15.85,-0.47471374559201,62.521564854967,5,,,5,2,3,0,0,0,6.8
2014-01-30,000725.SZ,8,0.0766,8.6,14.601712714097,12.819701340993,1,,,1,0,1,0,0,0,
2014-01-30,600373.SH,10,0.6667,12.865,18.978485400998,13.945698675699,4,,,4,0,3,1,0,0,
2014-01-30,600008.SH,6,0.315,,17.444520371867,,3,,,2,1,2,0,0,0,
2014-01-30,600704.SH,8,0.6089,9.09,20.123028861568,14.366484511916,7,1,,6,3,4,0,0,0,14.1633
2014-01-30,000425.SZ,6,0.8439,8.05,24.110659034307,42.488652645164,1,,,1,0,1,0,0,0,12
2014-01-30,002493.SZ,2,0.411,,98.551738990176,54.895824468117,,,,,,,,,,
2014-01-30,600804.SH,17,0.4462,14.6,57.14518110456,,7,1,1,5,2,5,0,0,0,19.4125
2014-01-30,600588.SH,13,0.561,17.7,18.7164830435,46.694321367151,6,,,6,5,1,0,0,0,23.8
2014-01-30,601288.SH,20,0.57,19,9.2517860467186,8.4468232553762,7,,,7,4,3,0,0,0,
2014-01-30,000060.SZ,12,0.2121,7.1,12.472346771234,13.139385897235,1,,,1,0,1,0,0,0,
2014-01-30,600309.SH,30,1.725,29.4,26.378249001275,12.332190918751,13,,,13,10,3,0,0,0,25.8
2014-01-30,002008.SZ,5,0.6233,14.72,19.392352064921,25.492697666009,3,,,3,1,2,0,0,0,
2014-01-30,600109.SH,13,0.1706,6.64,43.454585000324,1.9874700892298,6,,,6,1,4,1,0,0,22.6
2014-01-30,600170.SH,3,0.4735,14.4,37.779776502414,11.337266619988,,,,,,,,,,
2014-01-30,000895.SZ,29,2.19,30.8,25.360248466042,11.487182552174,10,,,10,8,2,0,0,0,60
