positionName,companyShortName,salary,createTime,companyId,companyFullName,companySize,financeStage,industryField,education,district,businessZones
数据研发,易居克而瑞,15k-25k,2019-11-15 09:51:43,9553,易居企业（中国）集团有限公司,500-2000人,上市公司,"移动互联网,消费生活",本科,闸北区,"['闸北公园', '延长路']"
数据分析师,华扬联众全国数据技术中心（HDTC）,20k-35k,2019-11-08 13:56:06,57628,华扬联众数字技术股份有限公司西安分公司,2000人以上,不需要融资,"数据服务,文娱丨内容",本科,黄浦区,"['南京东路', '人民广场']"
数据分析师,掌门1对1在线教育,15k-25k,2019-11-13 14:58:49,60054,上海掌小门教育科技有限公司,2000人以上,D轮及以上,"移动互联网,教育",本科,虹口区,"['四平路', '四川北路', '东宝兴路']"
数据开发工程师（上海）,数云,15k-20k,2019-11-21 17:54:15,7502,杭州数云信息技术有限公司上海分公司,150-500人,C轮,"企业服务,数据服务",不限,徐汇区,
数据分析师（游戏运营）,哔哩哔哩,12k-18k,2019-11-21 13:38:55,30830,上海哔哩哔哩科技有限公司,2000人以上,上市公司,"移动互联网,文娱丨内容",本科,杨浦区,"['复旦大学', '五角场']"
高级数据分析师,美市科技,15k-20k,2019-11-21 13:27:02,71090,上海美市科技有限公司,50-150人,A轮,"移动互联网,社交",本科,徐汇区,['岳阳']
数据工程师,澎湃新闻,15k-30k,2019-11-11 15:08:13,28702,上海东方报业有限公司,150-500人,未融资,"移动互联网,文娱丨内容",本科,静安区,
数据分析师,携程,15k-30k,2019-11-06 13:18:00,6636,携程计算机技术（上海）有限公司,2000人以上,上市公司,旅游,本科,长宁区,['北新泾']
模型数据分析师 (MJ000055),信用飞/首付游,15k-25k,2019-11-21 10:02:39,22897,上海晓途网络科技有限公司,150-500人,B轮,移动互联网,本科,长宁区,
数据分析,巴乐兔,10k-16k,2019-11-22 15:09:36,51951,上海万间信息技术有限公司,2000人以上,C轮,移动互联网,本科,浦东新区,['张江']
数据分析,FREE BRIO,10k-20k,2019-11-22 17:05:24,498569,随机漫步（上海）体育科技有限公司,50-150人,A轮,"电商,文娱丨内容",本科,徐汇区,
数据算法负责人,善诊,50k-95k,2019-11-15 17:29:39,62815,善诊（上海）信息技术有限公司,150-500人,C轮,"移动互联网,医疗丨健康",硕士,浦东新区,
2612DC-大数据算法工程师,平安租赁,6k-9k,2019-11-23 00:00:17,140240,平安国际融资租赁有限公司,500-2000人,不需要融资,金融,本科,浦东新区,
资深数据分析师,GeexFinance,10k-20k,2019-11-18 11:07:57,37850,即科金融信息服务（上海）有限公司,150-500人,A轮,金融,本科,杨浦区,
高级数据产品经理,善诊,25k-50k,2019-11-15 17:29:40,62815,善诊（上海）信息技术有限公司,150-500人,C轮,"移动互联网,医疗丨健康",硕士,浦东新区,
positionName,companyShortName,salary,createTime,companyId,companyFullName,companySize,financeStage,industryField,education,district,businessZones
数据分析师,字节跳动,8k-15k,2019-10-28 22:43:31,62,北京字节跳动科技有限公司,2000人以上,C轮,文娱丨内容,本科,徐汇区,
数据分析工程师,招商银行—出行易,15k-25k,2019-11-22 09:37:06,37009,上海招赢电子商务有限责任公司,150-500人,不需要融资,电商,本科,浦东新区,
数据分析师,浦发信用卡,15k-25k,2019-11-13 09:23:14,152356,上海浦东发展银行股份有限公司信用卡中心,2000人以上,上市公司,金融,本科,浦东新区,"['塘桥', '花木', '陆家嘴']"
广告-数据策略分析师,爱奇艺,15k-30k,2019-11-22 10:50:25,1686,北京奇艺世纪科技有限公司,2000人以上,上市公司,文娱丨内容,本科,长宁区,"['华漕', '长征']"
数据分析师（游戏）,哔哩哔哩,10k-12k,2019-11-18 17:24:54,30830,上海哔哩哔哩科技有限公司,2000人以上,上市公司,"移动互联网,文娱丨内容",本科,杨浦区,"['复旦大学', '五角场']"
游戏舆情数据分析师,上海米哈游,15k-30k,2019-11-22 13:38:04,7872,上海米哈游网络科技股份有限公司,500-2000人,不需要融资,"移动互联网,游戏",本科,徐汇区,
11122I-LT-312-NLP算法工程师,平安科技,25k-50k,2019-11-23 00:00:09,24748,平安科技（深圳）有限公司,2000人以上,不需要融资,金融,硕士,浦东新区,"['梅园', '陆家嘴', '八佰伴']"
数据分析专家,威斯科技,20k-40k,2019-11-22 18:55:00,473950,威斯科技（苏州）有限公司,50-150人,未融资,移动互联网,本科,闵行区,
